,Region,Surface area,Population in thousands,Population density,Sex ratio,GDP: Gross domestic product,GDP growth rate,GDP per capita,Economy: Agriculture,Economy: Industry,Economy: Services and other activity,Employment: Agriculture,Employment: Industry,Employment: Services,Unemployment,Agricultural production index,Food production index,International trade: Exports,International trade: Imports,International trade: Balance,"Balance of payments, current account",Population growth rate,Urban population,Urban population growth rate,"Fertility rate, total",Refugees and others of concern to UNHCR,Infant mortality rate (per 1000 live births,Health: Total expenditure,Health: Physicians,Education: Government expenditure,Seats held by women in national parliaments %,Mobile-cellular subscriptions,Mobile-cellular subscriptions .1,Individuals using the Internet,Threatened species,Forested area,CO2 emission estimates,"Energy production, primary",Energy supply per capita,Pop. using improved sanitation facilities,Female labour participation,Male labour participation,Life Expectancy Female,Life Expectancy Male,Population Age 0-14,Population Age 60+,Primary Enrolment Female,Primary Enrolment Male,Secondary Enrolment Female,Secondary Enrolment Male,Tertiary Enrolment Female,Tertiary Enrolment Male,Improved Drinking Water Urban,Improved Drinking Water Rural
154,5,17098246.0,143990,8.8,86.8,1326016,-3.7,9243.3,4.7,31.8,63.5,6.8,27.1,66.1,5.8,120,120,285491.0,182257.0,103234.0,69000.0,0.1,74.0,-0.1,1.7,418.4,8.3,7.1,3.3,3.9,15.8,160.0,73.4,235,49.8,11.9,54829,208,98.9,-99.0,56.3,71.3,75.9,64.7,17.6,21.1,100.9,100.1,103.4,105.5,88.3,72.9,77.0,58.7
155,3,26338.0,12208,494.9,96.2,8096,6.9,697.3,34.6,15.1,50.3,75.0,7.2,17.8,2.4,139,139,622.0,1778.0,-1157.0,-1099.0,2.5,28.8,6.4,4.2,155.1,44.0,7.5,0.0,3.6,61.3,70.5,18.0,62,19.2,0.1,84,8,86.6,13.67,86.1,83.3,67.1,63.1,40.1,4.9,133.4,131.7,38.2,35.2,6.9,9.1,58.5,62.9
156,19,308.0,4,10.4,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,0.0,0.0,-99,-99,0.0,48.0,-48.0,-99.0,-0.7,39.4,-0.6,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,30.7,37.6,100,5.1,3.1,0,41,-99.0,-99.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,0.0
157,0,261.0,55,212.9,97.0,876,3.8,15771.9,1.2,28.1,70.7,0.0,0.0,0.0,0.0,39,39,51.0,332.0,-280.0,-63.0,1.1,32.0,1.3,-99.0,0.0,-99.0,5.1,0.0,2.8,13.3,131.8,75.7,52,42.3,4.2,0,59,98.3,3.93,0.0,0.0,-99.0,0.0,0.0,0.0,83.4,81.7,92.8,88.0,107.2,52.6,0.0,0.0
158,0,539.0,179,293.2,95.9,1450,1.9,7839.4,2.7,12.9,84.4,14.8,17.6,67.6,19.0,69,69,120.0,654.0,-535.0,-100.0,0.5,18.5,0.9,1.5,0.0,10.9,6.7,0.0,4.9,16.7,101.5,52.4,62,33.4,2.2,0,33,99.5,0.97,63.1,76.6,77.6,72.2,18.9,13.7,0.0,0.0,84.8,85.5,22.0,11.6,84.7,91.9
159,10,242.0,6,27.5,98.2,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,112,112,653.0,2629.0,-1976.0,-99.0,0.0,90.4,0.1,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,12,12.3,12.2,0,174,-99.0,-99.0,-99.0,0.0,-99.0,0.0,0.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,0.0
160,0,389.0,110,281.8,101.7,738,1.6,6739.2,7.5,17.2,75.3,22.1,16.1,61.8,19.1,115,115,47.0,335.0,-288.0,-210.0,0.0,50.6,0.7,2.0,-99.0,16.5,8.6,0.0,0.0,13.0,103.6,51.8,58,69.2,1.9,0,29,95.1,1.8,56.4,76.9,74.9,70.7,23.8,11.7,103.2,105.8,105.0,107.9,-99.0,0.0,0.0,0.0
161,13,2842.0,196,69.4,106.6,774,2.8,4006.0,9.3,24.2,66.6,5.3,14.8,79.8,6.5,107,107,56.0,350.0,-294.0,-44.0,0.8,19.1,-0.2,4.2,0.0,18.0,7.2,0.0,0.0,10.0,58.5,25.4,93,60.4,1.0,2,24,97.5,12.75,23.3,58.2,77.4,71.1,36.6,8.5,106.7,106.7,89.5,80.7,0.0,0.0,93.3,91.1
162,8,964.0,204,212.8,99.2,334,4.0,1752.8,12.3,14.7,73.0,22.2,13.5,64.3,13.6,119,119,10.0,139.0,-129.0,-69.0,2.2,65.1,3.6,4.7,-99.0,43.8,8.1,0.0,3.8,18.2,65.1,25.8,94,55.8,0.6,1,14,98.9,12.39,45.4,76.2,68.2,64.0,42.8,4.3,112.2,117.7,91.7,80.8,13.6,13.2,40.8,23.3
163,20,2206714.0,32938,15.3,132.9,653219,3.4,20710.6,2.3,46.0,51.8,5.9,22.7,71.4,5.5,96,96,182329.0,135904.0,46426.0,-56724.0,2.8,83.1,2.1,2.7,70.2,13.0,4.7,2.6,0.0,19.9,176.6,69.6,131,0.5,19.5,25904,287,97.0,0.0,20.0,78.5,75.6,72.7,25.2,5.6,111.1,107.9,93.7,122.6,61.8,64.4,100.0,100.0
164,19,196712.0,15851,82.3,96.6,13633,6.5,901.1,15.5,24.1,60.4,51.4,20.7,27.9,9.3,126,127,2640.0,5478.0,-2838.0,-1348.0,3.0,43.7,3.6,5.0,17.6,43.9,4.7,0.0,7.4,42.7,100.0,21.7,123,43.2,0.6,77,11,92.9,6.49,45.3,70.5,67.5,63.8,42.9,4.7,86.9,77.6,49.1,50.2,7.8,12.9,65.4,33.8
165,18,88499.0,8791,100.5,95.6,37160,0.8,5238.6,8.2,31.4,60.5,19.4,24.5,56.1,15.5,102,102,14852.0,19231.0,-4379.0,-1751.0,-0.4,55.6,-0.3,1.6,254.1,9.8,10.4,2.5,4.2,34.4,120.5,65.3,71,31.1,4.3,393,62,99.4,0.9,43.4,59.9,77.5,71.8,16.5,24.5,101.2,101.5,97.4,96.0,66.9,50.2,98.2,94.2
166,3,457.0,95,206.0,97.2,1363,6.8,14133.2,2.7,13.6,83.8,3.6,17.9,78.2,4.1,105,109,335.0,833.0,-498.0,-256.0,0.5,53.9,1.1,2.4,-99.0,10.2,3.4,1.0,3.6,21.2,158.1,58.1,439,88.4,5.2,0,72,95.7,0.5,61.9,68.3,77.9,68.7,22.2,13.3,103.6,101.1,84.5,78.8,19.6,9.3,98.4,98.4
167,19,72300.0,7557,104.7,98.1,4483,-20.3,694.8,51.4,17.6,31.1,68.0,6.5,25.5,3.1,168,168,466.0,958.0,-492.0,-1317.0,2.3,39.9,2.7,4.8,0.8,94.4,11.1,0.0,2.7,12.4,89.5,2.5,177,41.3,0.2,53,11,84.9,21.56,65.1,68.8,50.7,49.6,42.1,4.2,128.2,127.0,40.1,46.5,0.0,0.0,22.8,6.9
168,14,719.0,5709,8155.5,97.7,292734,2.0,52239.0,0.0,26.4,73.6,0.3,17.0,82.6,2.0,112,112,329871.0,283009.0,46862.0,57922.0,1.7,100.0,2.0,1.2,0.0,2.1,4.9,1.9,2.9,23.8,146.1,82.1,293,23.1,10.2,27,209,100.0,-99.0,57.8,76.1,84.5,80.1,15.0,19.5,-99.0,0.0,-99.0,0.0,-99.0,0.0,100.0,0.0
169,5,49035.0,5448,113.3,94.6,87268,3.8,16082.5,3.7,34.8,61.5,3.3,34.5,62.2,9.9,97,97,77565.0,75156.0,2409.0,193.0,0.1,53.6,-0.3,1.4,2.7,5.7,8.1,3.4,4.2,20.0,122.3,85.0,54,40.3,5.6,264,121,100.0,-99.0,51.4,68.0,79.8,72.6,15.4,21.8,99.2,100.2,92.8,92.1,64.6,41.8,99.4,98.2
170,18,20273.0,2080,103.3,98.6,42777,2.3,20689.8,2.4,32.7,64.9,8.9,29.6,61.5,8.1,89,89,27585.0,26646.0,939.0,2216.0,0.3,49.7,0.1,1.6,0.6,2.5,9.2,2.8,5.5,36.7,113.2,73.1,143,62.0,6.2,154,135,99.7,-99.0,51.8,62.2,83.2,77.2,15.0,26.3,99.4,99.2,110.5,110.8,98.5,68.2,99.1,99.1
171,6,28896.0,611,21.8,103.4,1075,3.2,1841.6,28.2,15.6,56.3,48.1,2.4,49.5,31.4,118,118,437.0,454.0,-17.0,-36.0,2.1,22.3,4.2,4.1,0.0,30.0,5.1,0.2,0.0,2.0,72.7,10.0,245,78.3,0.4,3,11,93.2,16.47,61.1,73.5,71.1,68.3,38.8,5.4,113.6,115.0,47.0,49.8,-99.0,0.0,81.4,15.0
172,3,637657.0,14742,23.5,99.3,1559,2.7,144.5,60.2,7.4,32.5,72.0,4.8,23.2,6.6,112,112,925.0,530.0,394.0,-99.0,2.9,39.6,4.1,6.6,1168.4,79.5,-99.0,0.0,-99.0,24.2,52.5,1.8,175,10.3,0.1,129,12,69.6,22.85,33.3,75.9,56.5,53.3,46.4,4.4,0.0,0.0,0.0,0.0,-99.0,0.0,52.0,6.3
173,16,1221037.0,56717,46.8,96.4,314571,1.3,5773.0,2.4,28.9,68.7,6.1,26.2,67.7,26.0,125,126,74111.0,74744.0,-633.0,-13644.0,1.4,64.8,1.6,2.6,1201.9,36.5,8.8,0.8,6.0,42.2,159.3,51.9,581,7.6,9.1,7102,122,99.6,0.47,46.4,61.1,63.0,56.1,29.0,8.4,97.3,102.2,111.5,88.0,23.3,15.7,69.6,60.5
174,3,658841.0,12576,20.6,100.4,13167,2.0,1067.0,4.6,58.0,37.4,-99.0,-99.0,-99.0,0.0,-99,-99,2389.0,750.0,1640.0,-935.0,3.3,18.8,5.1,5.2,2231.2,77.7,2.7,-99.0,1.8,28.5,23.9,17.9,49,-99.0,0.1,337,2,66.7,21.07,0.0,0.0,56.0,54.1,41.7,5.1,53.1,74.9,6.6,12.3,-99.0,0.0,16.4,4.5
175,18,505944.0,46354,92.9,96.2,1192955,3.2,25865.4,2.6,23.6,73.7,3.9,19.2,76.8,18.3,102,102,281777.0,302539.0,-20762.0,16208.0,-0.2,79.6,0.7,1.3,28.8,2.9,9.0,3.8,4.3,39.1,107.9,78.7,617,36.8,5.1,1432,102,100.0,-99.0,52.1,64.2,85.3,79.6,14.7,25.3,105.6,104.5,129.6,130.0,97.1,82.5,99.8,100.0
176,17,65610.0,20877,332.9,92.5,82316,4.8,3973.7,8.7,30.7,60.6,27.4,25.9,46.6,5.2,120,122,10546.0,19501.0,-8955.0,-2009.0,0.5,18.4,0.8,2.1,44.2,8.2,3.5,0.0,2.2,5.8,112.8,30.0,587,33.1,0.9,179,20,98.5,0.53,30.4,75.0,78.0,71.2,24.0,14.9,100.6,102.7,102.0,97.5,24.0,15.6,88.1,96.7
177,20,6020.0,4921,817.4,102.9,12677,3.5,2715.5,4.8,23.4,71.9,8.7,29.8,61.5,24.2,90,90,929.0,5058.0,-4128.0,-1713.0,2.7,75.3,2.8,4.2,0.0,20.0,-99.0,-99.0,1.3,-99.0,77.6,57.4,31,1.5,0.6,9,15,50.7,17.52,18.4,69.7,74.8,71.1,39.6,4.6,94.3,94.4,87.0,79.2,54.4,34.5,93.0,90.2
178,9,-99.0,40533,23.0,99.9,79546,4.9,1977.0,32.4,20.1,47.6,32.9,20.4,46.7,13.4,-99,-99,1797.0,7658.0,-5861.0,-5933.0,2.3,33.8,2.5,4.8,3619.6,48.7,8.4,3.1,0.0,30.5,70.5,26.6,133,-99.0,0.4,682,16,-99.0,1.09,24.4,72.2,65.1,62.1,40.8,5.5,66.6,74.1,41.5,43.9,16.8,15.8,-99.0,0.0
179,15,163820.0,563,3.6,100.7,4879,-2.7,8985.3,11.4,27.4,61.1,3.4,22.3,74.3,9.9,152,152,1437.0,1244.0,193.0,-808.0,1.0,66.0,0.8,2.5,0.0,17.4,5.7,0.0,-99.0,25.5,180.7,42.8,83,98.3,3.7,44,62,98.1,0.32,40.5,68.6,74.2,67.8,26.4,10.4,121.4,124.2,90.9,71.7,0.0,0.0,88.4,61.4
180,16,17363.0,1367,79.5,93.9,4133,1.7,3211.7,6.6,42.1,51.3,22.0,17.0,61.0,25.1,114,115,1881.0,733.0,1149.0,281.0,1.8,21.3,1.3,3.3,1.1,56.3,9.3,0.0,7.0,6.2,73.2,30.4,34,33.8,1.0,39,40,93.6,2.39,40.6,65.1,58.2,51.6,37.2,4.8,108.0,117.5,65.8,66.2,5.5,5.2,63.1,56.0
181,11,438574.0,9911,24.2,100.2,495694,4.1,50687.5,1.3,26.3,72.4,1.8,18.2,79.9,7.3,100,100,139574.0,140838.0,-1263.0,23250.0,0.8,85.8,0.8,1.9,348.5,2.4,11.9,4.1,7.7,43.6,130.4,90.6,54,68.9,4.5,1428,206,100.0,-99.0,60.7,68.0,83.7,80.0,17.5,25.5,125.6,120.6,150.0,131.5,75.7,49.6,99.2,99.6
182,21,41291.0,8476,214.5,98.2,670790,0.8,80831.1,0.7,25.5,73.8,3.5,20.4,76.1,4.6,106,106,304691.0,269157.0,35534.0,77378.0,1.2,73.9,1.1,1.5,110.1,3.9,11.7,4.1,5.1,32.5,142.0,88.0,74,31.6,4.3,552,126,100.0,-99.0,62.5,74.5,84.8,80.5,14.9,24.1,103.8,104.1,99.4,103.0,58.5,56.9,99.9,99.8
183,20,185180.0,18270,99.5,102.1,28393,-5.3,1534.5,20.7,30.0,49.3,18.5,39.2,42.3,13.8,65,68,1265.0,2383.0,-1118.0,0.0,-2.3,57.7,1.4,3.1,6768.5,17.9,3.3,1.5,0.0,13.2,62.4,30.0,132,2.7,1.7,237,24,92.3,0.0,12.4,70.9,76.3,64.4,36.6,6.8,78.7,81.4,50.5,50.5,47.0,41.3,96.2,95.1
184,2,142600.0,8921,63.7,100.9,7853,4.2,925.9,25.0,28.0,47.1,57.2,13.4,29.4,10.8,155,172,899.0,3030.0,-2132.0,-472.0,2.2,26.8,2.6,3.5,21.8,38.9,6.9,1.7,5.2,19.0,98.6,19.0,45,3.0,0.6,76,14,93.1,4.55,59.6,77.9,73.5,67.7,35.3,5.8,101.2,99.8,83.1,92.5,24.0,33.6,93.8,95.5
185,14,513120.0,69038,135.1,95.2,395168,2.8,5814.8,9.1,35.7,55.1,34.0,22.7,43.3,0.6,129,126,213927.0,195666.0,18260.0,32149.0,0.4,50.4,3.0,1.5,554.1,11.2,4.1,0.0,4.1,4.9,125.8,39.3,611,32.0,4.7,3338,83,97.6,0.02,62.7,79.8,78.4,70.8,17.3,16.9,99.2,106.1,125.3,132.6,57.3,40.5,89.9,96.1
186,18,25713.0,2083,82.6,100.0,10052,3.8,4836.1,12.0,27.9,65.1,16.2,29.2,54.5,27.3,111,112,4785.0,6757.0,-1972.0,-204.0,0.1,57.1,0.1,1.5,1.4,9.0,6.5,2.8,0.0,31.7,105.4,70.4,110,39.6,3.6,53,53,99.8,2.18,43.9,67.8,77.2,73.2,16.7,19.5,92.8,93.6,78.2,80.3,46.8,37.5,97.2,82.6
187,14,14919.0,1296,87.2,103.2,2873,4.3,2425.4,5.2,79.9,14.9,50.8,2.0,47.2,4.3,111,117,94.0,647.0,-553.0,238.0,2.2,32.8,3.8,5.9,0.0,43.9,1.5,0.1,7.8,38.5,117.4,13.4,24,46.9,0.4,143,7,95.2,8.89,26.9,55.6,69.5,66.1,43.6,5.4,136.2,137.5,79.6,74.1,0.0,0.0,69.0,26.8
188,19,56785.0,7798,143.4,99.4,4086,5.5,559.4,45.7,19.7,34.6,62.5,8.7,28.7,6.8,140,143,715.0,1716.0,-1001.0,-461.0,2.6,40.0,3.8,4.7,13.8,55.7,5.2,0.0,5.2,17.6,65.0,7.1,80,3.8,0.4,111,20,91.4,5.51,81.0,80.7,59.8,58.3,41.6,4.6,118.5,125.1,0.0,0.0,6.4,14.9,24.7,2.9
189,13,747.0,108,150.0,100.7,402,3.8,3784.5,22.4,21.5,56.1,33.3,28.2,38.5,4.8,134,134,14.0,209.0,-196.0,-33.0,0.4,23.7,0.7,3.8,0.0,20.6,5.2,0.0,0.0,3.8,65.6,45.0,79,12.5,1.1,0,15,99.7,18.3,52.9,73.9,75.6,69.6,35.8,8.5,107.5,108.6,94.2,86.4,0.0,0.0,97.6,89.0
190,0,5127.0,1369,266.9,97.1,25927,0.2,19062.9,0.5,42.5,57.0,4.1,31.6,64.3,4.2,95,95,4576.0,4826.0,-249.0,0.0,0.5,8.4,-1.2,1.8,0.2,24.8,5.9,0.0,0.0,31.0,157.7,69.2,69,45.4,34.2,1663,607,95.1,0.0,52.4,73.2,73.8,66.9,20.7,15.0,0.0,0.0,0.0,0.0,0.0,0.0,91.5,91.5
191,9,163610.0,11532,74.2,97.6,41199,0.8,3660.9,10.3,27.8,62.0,11.7,29.4,58.9,14.6,108,108,13483.0,19456.0,-5973.0,-3850.0,1.2,66.8,1.4,2.3,0.7,18.5,7.0,1.6,6.3,31.3,129.9,48.5,96,6.6,2.6,274,39,100.0,1.14,25.1,71.3,77.1,73.0,24.0,12.3,112.5,115.8,94.2,90.0,43.3,26.2,97.4,79.8
192,20,783562.0,80745,104.9,97.0,717888,4.0,9125.8,8.6,26.4,65.0,19.6,27.5,52.9,10.8,120,122,142606.0,198602.0,-55996.0,-32278.0,1.6,73.4,2.0,2.1,3006.3,12.6,5.4,1.7,4.8,14.9,96.0,53.7,388,15.1,4.5,1303,65,100.0,0.3,30.4,71.4,78.1,71.5,25.0,12.0,102.1,102.8,101.1,103.8,88.3,101.0,98.3,85.5
193,2,488100.0,5758,12.3,97.0,37597,6.5,6996.7,13.4,51.0,35.6,17.9,37.4,44.7,8.6,103,109,3741.0,2616.0,1125.0,-99.0,1.8,50.0,1.9,3.0,7.2,46.9,2.1,2.3,3.1,25.8,145.9,15.0,54,8.8,12.9,3270,212,0.0,0.07,47.3,77.7,70.8,63.9,30.9,7.3,88.6,90.1,83.7,86.9,6.2,9.7,0.0,0.0
194,0,948.0,35,37.3,104.1,863,4.1,25121.8,0.6,10.4,89.0,0.0,0.0,0.0,0.0,-99,-99,4.0,389.0,-385.0,-99.0,2.0,92.2,2.5,-99.0,0.0,-99.0,-99.0,-99.0,3.3,-99.0,-99.0,-99.0,60,36.2,6.1,0,86,0.0,-99.0,-99.0,0.0,77.8,75.8,19.2,7.6,-99.0,0.0,-99.0,0.0,-99.0,0.0,0.0,0.0
195,3,241550.0,42863,214.5,99.0,25282,5.4,647.7,25.6,21.5,52.9,72.0,7.4,20.5,2.4,93,90,2755.0,3750.0,-996.0,-2353.0,3.4,16.1,5.4,5.9,727.1,60.2,7.2,0.0,2.2,34.3,50.4,19.2,196,11.0,0.1,409,12,95.5,6.35,82.3,87.7,60.7,56.5,47.7,3.3,110.9,108.9,22.1,24.3,4.2,5.4,28.5,17.3
196,5,603500.0,44223,76.3,86.0,90615,-9.9,2021.6,14.0,26.3,59.7,15.7,24.6,59.7,8.8,137,137,36369.0,39184.0,-2815.0,-189.0,-0.5,69.7,-0.3,1.5,1644.8,8.8,7.1,3.0,5.9,12.3,144.0,49.3,102,16.6,5.1,3203,98,95.5,1.63,52.3,67.5,76.0,66.1,15.5,23.2,105.1,102.8,98.2,100.2,88.4,76.5,97.4,92.6
197,20,83600.0,9400,112.4,262.4,370296,3.8,40438.8,0.7,44.9,54.4,3.5,21.1,75.4,3.7,70,70,195613.0,201908.0,-6296.0,-99.0,2.0,85.5,2.9,1.8,1.3,6.2,3.6,1.6,-99.0,20.0,187.4,91.2,56,3.8,23.2,8642,366,99.6,-99.0,41.7,90.8,78.2,76.0,13.9,2.4,116.0,116.7,-99.0,0.0,-99.0,0.0,98.0,95.2
198,11,242495.0,66182,273.6,97.4,2858003,2.2,44162.4,0.7,19.4,79.9,1.2,18.4,80.4,5.0,108,108,415856.0,635570.0,-219713.0,-122571.0,0.6,82.6,0.9,1.9,151.7,4.1,9.1,2.8,5.7,30.0,125.8,92.0,102,12.9,6.5,4482,116,100.0,-99.0,57.0,68.6,82.8,79.0,17.7,23.9,108.1,108.4,130.4,125.3,64.1,49.0,99.1,99.6
199,3,947303.0,57310,64.7,97.8,45628,7.0,877.3,31.1,26.1,42.9,66.9,6.4,26.7,2.7,176,180,4742.0,7876.0,-3134.0,-3312.0,3.1,31.6,5.4,5.2,402.1,44.0,5.6,0.0,3.5,36.4,75.9,5.4,1082,52.4,0.2,935,20,77.2,5.85,73.9,83.2,64.8,60.8,44.9,4.7,82.9,80.5,30.8,33.7,2.5,4.9,31.3,8.3
200,10,9833517.0,324460,35.5,98.0,18036648,2.6,56053.8,1.0,19.7,79.3,1.5,17.2,81.3,4.9,111,113,1453167.0,2249661.0,-796494.0,-462961.0,0.7,81.6,1.0,1.9,616.5,6.0,17.1,2.6,5.4,19.1,117.6,74.6,1513,33.9,16.2,83887,289,99.4,-99.0,55.7,68.1,81.2,76.5,18.9,21.5,100.0,100.3,98.5,96.7,99.6,72.8,100.0,100.0
201,15,173626.0,3457,19.8,93.5,53442,1.0,15573.8,6.8,28.0,65.2,8.7,20.5,70.8,8.8,129,130,6964.0,8137.0,-1173.0,-1141.0,0.3,95.3,0.5,2.0,0.5,12.7,8.6,0.0,4.4,20.2,160.2,64.6,106,10.4,2.0,113,58,100.0,0.04,55.6,76.3,80.4,73.2,21.1,19.5,107.3,109.8,100.0,90.3,0.0,0.0,96.6,92.6
202,2,448969.0,31911,75.0,99.4,69004,6.8,2308.3,19.2,32.9,47.9,29.0,23.9,47.1,8.9,158,174,27947.0,25652.0,2295.0,-99.0,1.6,36.4,1.4,2.4,86.7,31.3,5.8,2.5,-99.0,16.0,73.3,42.8,59,7.6,3.6,2339,62,98.5,0.66,48.5,76.6,73.5,68.1,28.0,7.6,103.2,105.6,95.1,96.8,7.1,11.0,100.0,100.0
203,6,12189.0,276,22.7,102.4,737,-1.0,2783.0,26.7,8.4,64.9,61.4,6.8,31.8,5.3,123,122,50.0,416.0,-366.0,-82.0,2.3,26.1,3.4,3.4,0.0,24.3,5.0,0.2,5.5,0.0,66.2,22.4,137,36.1,0.6,1,12,98.9,12.32,61.7,80.5,73.6,69.4,35.9,6.7,118.7,120.6,56.4,53.4,0.0,0.0,65.1,55.4
204,15,912050.0,31977,36.3,99.0,344331,-6.2,11068.9,5.3,44.7,50.0,11.9,26.8,61.3,6.6,118,119,19731.0,16324.0,3407.0,-20360.0,1.4,89.0,1.5,2.4,174.2,13.8,5.3,0.0,0.0,22.2,93.0,61.9,328,53.1,6.1,7460,90,95.0,0.01,51.5,78.3,78.2,69.9,27.6,9.9,98.6,101.3,93.0,86.5,0.0,0.0,97.5,69.9
205,14,330967.0,95541,308.1,98.0,193241,6.7,2067.9,18.9,37.0,44.2,41.8,22.9,35.2,2.2,136,134,176632.0,174111.0,2520.0,906.0,1.1,33.6,3.0,2.0,11.0,19.3,7.1,1.2,5.7,26.7,130.6,52.7,616,47.2,1.8,2977,30,99.1,1.73,73.9,83.3,80.3,70.7,23.1,11.1,108.4,109.3,-99.0,0.0,28.9,28.8,94.4,69.7
206,20,527968.0,28250,53.5,102.1,29688,-28.1,1106.4,14.7,36.9,48.4,32.9,17.9,49.2,16.1,136,137,570.0,6861.0,-6291.0,-3026.0,2.6,34.6,4.0,4.4,3371.4,47.2,5.6,0.3,0.0,0.0,68.0,25.1,298,1.0,0.9,668,12,72.0,2.99,26.2,73.7,65.6,62.8,39.9,4.6,88.9,105.7,39.5,57.4,6.1,13.7,92.5,34.1
207,3,752612.0,17094,23.0,98.5,21255,2.9,1311.1,8.2,32.3,59.5,54.8,9.9,35.3,7.4,179,180,6505.0,7442.0,-937.0,-768.0,3.0,40.9,4.3,5.2,55.3,53.8,5.0,0.2,0.0,18.0,74.5,21.0,88,65.6,0.3,374,26,85.6,3.96,69.9,80.9,61.9,57.5,44.8,3.7,104.0,103.3,-99.0,0.0,3.4,4.5,55.6,35.7
208,3,390757.0,16530,42.7,95.0,13893,1.1,890.4,13.0,30.5,56.5,67.5,7.3,25.2,5.0,99,98,2832.0,5212.0,-2379.0,-1521.0,2.3,32.4,2.3,4.0,308.6,46.5,6.0,0.1,8.4,32.6,84.8,16.4,89,37.2,0.8,482,30,97.0,6.0,78.0,87.5,59.0,56.1,41.2,4.2,99.1,100.8,47.1,48.1,8.0,8.9,49.3,30.8
