Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2000,43.1,50.9,57.3,58.6,72.9,77.9,81.4,79.7,70.8,64.1,51.0,37.2,62.1
2001,41.7,50.8,50.4,63.5,69.9,74.4,78.6,78.8,71.3,60.7,59.9,50.1,62.5
2002,46.9,45.4,54.5,64.8,68.3,76.4,80.4,80.2,76.0,65.4,50.9,43.9,62.8
2003,40.0,46.4,55.7,61.7,69.0,74.4,77.9,79.1,72.1,63.5,57.6,43.2,61.7
2004,42.8,43.7,58.3,62.0,72.9,75.9,79.5,76.8,72.2,67.0,56.4,44.6,62.7
2005,46.8,48.8,52.1,60.4,66.7,75.3,79.4,79.6,76.6,64.4,55.2,41.8,62.3
2006,49.4,44.2,54.2,65.9,69.8,77.2,81.0,81.0,71.9,61.7,53.8,50.1,63.4
2007,46.1,45.3,60.2,60.3,71.6,79.6,78.4,85.6,75.8,66.0,53.2,50.7,64.4
2008,42.2,48.3,54.0,61.3,69.5,79.8,79.8,78.2,74.5,62.0,50.6,48.5,62.4
2009,43.9,47.7,55.0,60.7,70.2,79.8,78.1,78.9,73.5,61.0,53.8,42.3,62.1
2010,38.5,39.6,50.7,65.2,73.4,81.4,82.3,82.8,78.0,65.3,54.6,38.3,62.5
2011,40.2,50.0,55.8,65.3,70.9,81.3,82.4,83.0,73.2,62.1,55.7,50.4,64.2
2012,49.1,51.3,64.5,65.8,73.9,77.4,83.8,79.0,74.3,63.4,52.8,51.1,65.5
2013,49.9,46.6,49.1,62.1,68.1,77.5,77.5,77.5,74.4,64.4,50.6,48.1,62.2
2014,37.0,47.3,52.5,62.7,71.2,78.2,77.9,79.0,75.8,66.2,49.0,50.0,62.2
2015,43.1,40.4,57.6,65.7,73.1,79.6,81.3,79.9,73.5,64.1,57.7,57.6,64.5
2016,42.4,48.5,60.5,64.1,71.1,81.0,83.4,82.7,78.8,69.6,58.9,48.9,65.8
2017,52.0,56.1,57.7,67.8,71.1,76.6,81.2,79.2,73.8,65.7,56.2,46.8,65.4
2018,40.4,57.3,53.5,59.8,74.8,79.8,80.8,79.7,81.0,67.4,50.3,48.6,64.5
2019,45.9,53.8,55.4,65.3,76.4,77.7,82.2,82.5,82.4,68.4,52.5,51.2,66.1
2020,49.2,49.9,61.6,61.6,68.9,76.8,82.1,80.9,73.8,67.3,58.9,46.1,64.8
2021,46.2,48.7,59.1,62.9,69.7,77.6,79.9,80.4,73.9,67.2,52.9,56.0,64.5
2022,44.5,51.7,58.1,63.2,73.9,81.1,81.6,79.5,74.7,62.4,56.6,47.5,64.6
2023,51.7,57.1,58.0,63.5,70.3,76.6,83.1,82.6,75.8,65.7,56.0,49.9,65.9
2024,44.3,53.1,58.8,65.4,74.3,81.5,82.4,82.2,76.3,68.1,59.6,48.8,66.2